2019-06-09 14:23:52.503	        76c88310	INFO 	logging	contrib/epee/src/mlog.cpp:277	New log categories: *:WARNING,net:FATAL,net.http:FATAL,net.p2p:FATAL,net.cn:FATAL,global:INFO,verify:FATAL,stacktrace:INFO,logging:INFO,msgwriter:INFO
2019-06-09 14:23:53.284	        76c88310	INFO 	net.p2p	src/p2p/net_node.inl:576	[1;32mNet service bound to 0.0.0.0:18080[0m
2019-06-09 14:23:57.290	        76c88310	INFO 	net.p2p	src/p2p/net_node.inl:2070	No IGD was found.
2019-06-09 14:23:57.290	        76c88310	INFO 	global	src/daemon/p2p.h:68	p2p server initialized OK
2019-06-09 14:23:57.291	        76c88310	INFO 	global	src/daemon/rpc.h:63	Initializing core RPC server...
2019-06-09 14:23:57.292	        76c88310	INFO 	net	contrib/epee/include/net/abstract_tcp_server2.inl:917	Set server type to: 1 from name: RPC, prefix_name = RPC
2019-06-09 14:23:57.392	        76c88310	INFO 	global	contrib/epee/include/net/http_server_impl_base.h:76	Binding on 192.168.8.121:18081
2019-06-09 14:23:57.394	        76c88310	INFO 	global	src/daemon/rpc.h:69	core RPC server initialized OK on port: 18081
2019-06-09 14:23:57.394	        76c88310	INFO 	global	src/daemon/core.h:86	Initializing core...
2019-06-09 14:23:57.397	        76c88310	INFO 	global	src/cryptonote_core/cryptonote_core.cpp:469	Loading blockchain from folder /home/pinodexmr/.bitmonero/lmdb ...
2019-06-09 14:23:57.404	        76c88310	INFO 	blockchain.db.lmdb	src/blockchain_db/lmdb/db_lmdb.cpp:559	DB map size:     112474759168
2019-06-09 14:23:57.404	        76c88310	INFO 	blockchain.db.lmdb	src/blockchain_db/lmdb/db_lmdb.cpp:560	Space used:      75370708992
2019-06-09 14:23:57.404	        76c88310	INFO 	blockchain.db.lmdb	src/blockchain_db/lmdb/db_lmdb.cpp:561	Space remaining: 37104050176
2019-06-09 14:23:57.404	        76c88310	INFO 	blockchain.db.lmdb	src/blockchain_db/lmdb/db_lmdb.cpp:562	Size threshold:  0
2019-06-09 14:23:57.404	        76c88310	INFO 	blockchain.db.lmdb	src/blockchain_db/lmdb/db_lmdb.cpp:564	Percent used: 0.6701  Percent threshold: 0.9000
2019-06-09 14:24:08.665	        76c88310	INFO 	blockchain.db.lmdb	src/blockchain_db/lmdb/db_lmdb.cpp:2997	batch transaction mode already enabled, but asked to enable batch mode
2019-06-09 14:24:08.665	        76c88310	INFO 	blockchain.db.lmdb	src/blockchain_db/lmdb/db_lmdb.cpp:3000	batch transactions enabled
2019-06-09 14:24:08.665	        76c88310	INFO 	blockchain.db.lmdb	src/blockchain_db/lmdb/db_lmdb.cpp:591	[check_and_resize_for_batch] checking DB size
2019-06-09 14:24:08.665	        76c88310	INFO 	blockchain.db.lmdb	src/blockchain_db/lmdb/db_lmdb.cpp:559	DB map size:     112474759168
2019-06-09 14:24:08.665	        76c88310	INFO 	blockchain.db.lmdb	src/blockchain_db/lmdb/db_lmdb.cpp:560	Space used:      75370708992
2019-06-09 14:24:08.665	        76c88310	INFO 	blockchain.db.lmdb	src/blockchain_db/lmdb/db_lmdb.cpp:561	Space remaining: 37104050176
2019-06-09 14:24:08.666	        76c88310	INFO 	blockchain.db.lmdb	src/blockchain_db/lmdb/db_lmdb.cpp:562	Size threshold:  0
2019-06-09 14:24:08.666	        76c88310	INFO 	blockchain.db.lmdb	src/blockchain_db/lmdb/db_lmdb.cpp:564	Percent used: 0.6701  Percent threshold: 0.9000
2019-06-09 14:24:38.873	        76c88310	INFO 	blockchain	src/cryptonote_core/blockchain.cpp:4560	Loading precomputed blocks (221956 bytes)
2019-06-09 14:24:38.885	        76c88310	INFO 	blockchain	src/cryptonote_core/blockchain.cpp:4571	precomputed blocks hash: <570ce2357b08fadac6058e34f95c5e08323f9325de260d07b091a281a948a7b0>, expected 570ce2357b08fadac6058e34f95c5e08323f9325de260d07b091a281a948a7b0
2019-06-09 14:24:38.998	        76c88310	INFO 	blockchain	src/cryptonote_core/blockchain.cpp:457	35345895847
2019-06-09 14:24:57.086	        76c88310	INFO 	blockchain.db.lmdb	src/blockchain_db/lmdb/db_lmdb.cpp:2279	transaction with hash 907577ce3538fe70c5aad40b3029e1a7540065a6db10563a524c46efabae1510 not found in db
2019-06-09 14:24:57.106	        76c88310	INFO 	blockchain.db.lmdb	src/blockchain_db/lmdb/db_lmdb.cpp:2279	transaction with hash c471d4ea116b71dbce69e729df8e1c1cc94984c0bad06924313f7323c5eb6917 not found in db
2019-06-09 14:24:57.119	        76c88310	INFO 	blockchain.db.lmdb	src/blockchain_db/lmdb/db_lmdb.cpp:2279	transaction with hash 7fc4964b6e04f08c553dfe609c616a982ff8664fcaea920733f9b8c249719e2b not found in db
2019-06-09 14:24:57.145	        76c88310	INFO 	blockchain.db.lmdb	src/blockchain_db/lmdb/db_lmdb.cpp:2279	transaction with hash 25eebbd4a5c3be4e670abddd2d4f80ff13ebf9fde4120f235bcc3c0c0e26dc3e not found in db
2019-06-09 14:24:57.163	        76c88310	INFO 	blockchain.db.lmdb	src/blockchain_db/lmdb/db_lmdb.cpp:2279	transaction with hash 6696e7ee5babe11674024a7c21b977a901d4067efeb6a205bd5d8597dde45844 not found in db
2019-06-09 14:24:57.177	        76c88310	INFO 	blockchain.db.lmdb	src/blockchain_db/lmdb/db_lmdb.cpp:2279	transaction with hash 6f4427f9b976d825128c799fecdf7a1e1e1c94d17737bec7cd567d960d862247 not found in db
2019-06-09 14:24:57.189	        76c88310	INFO 	blockchain.db.lmdb	src/blockchain_db/lmdb/db_lmdb.cpp:2279	transaction with hash fbfda28751e12faa038bf363220db67f3a601e4f0a44898ff78ac206fd6fd048 not found in db
2019-06-09 14:24:57.202	        76c88310	INFO 	blockchain.db.lmdb	src/blockchain_db/lmdb/db_lmdb.cpp:2279	transaction with hash 80412d70fda4423e3503652d6602f5d18f156702bd2916dc4569442e769b054c not found in db
2019-06-09 14:24:57.215	        76c88310	INFO 	blockchain.db.lmdb	src/blockchain_db/lmdb/db_lmdb.cpp:2279	transaction with hash 040a3ef701894a78ddda2be976b7d0a8f80799980cea44a196f93a9083367451 not found in db
2019-06-09 14:24:57.228	        76c88310	INFO 	blockchain.db.lmdb	src/blockchain_db/lmdb/db_lmdb.cpp:2279	transaction with hash 6006e412874d43753d763bdd8603e3ad42e49a70f3e5d9c726ebf342288eac52 not found in db
2019-06-09 14:24:57.241	        76c88310	INFO 	blockchain.db.lmdb	src/blockchain_db/lmdb/db_lmdb.cpp:2279	transaction with hash 95308b555538c2590cd36d7605bf526c005a114957f8f8149757597997771758 not found in db
2019-06-09 14:24:57.255	        76c88310	INFO 	blockchain.db.lmdb	src/blockchain_db/lmdb/db_lmdb.cpp:2279	transaction with hash 99a0d7eea447b343822a8526d1c83250172015c2b1a59590fee719f4bb701d5b not found in db
2019-06-09 14:24:57.267	        76c88310	INFO 	blockchain.db.lmdb	src/blockchain_db/lmdb/db_lmdb.cpp:2279	transaction with hash d8b50e66ac186cbbf9f45ad489eb82c314069f59e291c26d2001b6e13c71cf5d not found in db
2019-06-09 14:24:57.285	        76c88310	INFO 	blockchain.db.lmdb	src/blockchain_db/lmdb/db_lmdb.cpp:2279	transaction with hash fa4d4f71492948584fcbc4fa0b4d39aeba304dd7a8ec5fcfbe669315fff5a171 not found in db
2019-06-09 14:24:57.299	        76c88310	INFO 	blockchain.db.lmdb	src/blockchain_db/lmdb/db_lmdb.cpp:2279	transaction with hash 07cc253f9fb08d4933bcd39ab01c437a292da2de02c7cba1463fe85604086772 not found in db
2019-06-09 14:24:57.326	        76c88310	INFO 	blockchain.db.lmdb	src/blockchain_db/lmdb/db_lmdb.cpp:2279	transaction with hash 42c4716e7a0293deea9c3c0b02d1009945d0a4196d30c5448d4a601bfd276d7c not found in db
2019-06-09 14:24:57.346	        76c88310	INFO 	blockchain.db.lmdb	src/blockchain_db/lmdb/db_lmdb.cpp:2279	transaction with hash 78d3408d152e55a58ffa5fb03ccad2d2a3bb7e9c295a1f8ea6405c9307ae0080 not found in db
2019-06-09 14:24:57.359	        76c88310	INFO 	blockchain.db.lmdb	src/blockchain_db/lmdb/db_lmdb.cpp:2279	transaction with hash e9ecb8848df45d2d03b1ae8257ec06b4f608eaebed5b800dba8d80e019a08889 not found in db
2019-06-09 14:24:57.377	        76c88310	INFO 	blockchain.db.lmdb	src/blockchain_db/lmdb/db_lmdb.cpp:2279	transaction with hash fa5b9dee1047fa9d0ae7ca3f3fe111415e377bc7554eaf9141d6ee590077d18d not found in db
2019-06-09 14:24:57.389	        76c88310	INFO 	blockchain.db.lmdb	src/blockchain_db/lmdb/db_lmdb.cpp:2279	transaction with hash ffcccc184c477436553c30570cc1875a201d613d0caab1d461e3e77a65e83f8f not found in db
2019-06-09 14:24:57.403	        76c88310	INFO 	blockchain.db.lmdb	src/blockchain_db/lmdb/db_lmdb.cpp:2279	transaction with hash b609b83f9946eebac62a17766f45b79988ebfbe948f3a2e648ac07c32c555893 not found in db
2019-06-09 14:24:57.424	        76c88310	INFO 	blockchain.db.lmdb	src/blockchain_db/lmdb/db_lmdb.cpp:2279	transaction with hash 3aff2075b6a0d50fe37df50cb89f1a952e1544efbe7d83b4c66bf0ff20317899 not found in db
2019-06-09 14:24:57.438	        76c88310	INFO 	blockchain.db.lmdb	src/blockchain_db/lmdb/db_lmdb.cpp:2279	transaction with hash f8c41bbc36e977164986c95838c739a91c29de91ad8027e44dcbc496f3d80b9c not found in db
2019-06-09 14:24:57.454	        76c88310	INFO 	blockchain.db.lmdb	src/blockchain_db/lmdb/db_lmdb.cpp:2279	transaction with hash f7d8812b31fb2a2c9f9617e15091680424ca8103eb023503821cc6d8e99a54ac not found in db
2019-06-09 14:24:57.474	        76c88310	INFO 	blockchain.db.lmdb	src/blockchain_db/lmdb/db_lmdb.cpp:2279	transaction with hash 7c65c3544b618854be5ca8176d9429571dc4b9d5a84d8657b39fdc6aae2851bb not found in db
2019-06-09 14:24:57.481	        76c88310	INFO 	blockchain.db.lmdb	src/blockchain_db/lmdb/db_lmdb.cpp:2279	transaction with hash e4fbb7419660c01aca4fb04cf4218442008f53efa90e4d2871c5280e5931e2bd not found in db
2019-06-09 14:24:57.499	        76c88310	INFO 	blockchain.db.lmdb	src/blockchain_db/lmdb/db_lmdb.cpp:2279	transaction with hash c46e2ecd88479bbf123ad19b16ad558a5c17392752694d27fc7806c002e17cc6 not found in db
2019-06-09 14:24:57.509	        76c88310	INFO 	blockchain.db.lmdb	src/blockchain_db/lmdb/db_lmdb.cpp:2279	transaction with hash 0605badd2f7297ef6079c0e631cdb17238a2ad6492e730e6530379c4f91cfec8 not found in db
2019-06-09 14:24:57.527	        76c88310	INFO 	blockchain.db.lmdb	src/blockchain_db/lmdb/db_lmdb.cpp:2279	transaction with hash 29b7db63a07bf2ee0f85011b0d1ad091847ee478b96c8cabb56ac2d6f773d5cc not found in db
2019-06-09 14:24:57.535	        76c88310	INFO 	blockchain.db.lmdb	src/blockchain_db/lmdb/db_lmdb.cpp:2279	transaction with hash c5e17ae13e27f742c2c437b1d20fb86efc46230a5118c16d0793e2a61de23ace not found in db
2019-06-09 14:24:57.556	        76c88310	INFO 	blockchain.db.lmdb	src/blockchain_db/lmdb/db_lmdb.cpp:2279	transaction with hash 8668ea060f7aa6379c630732011d5afca292a6ff03172e27d21ff23f6fb5afcf not found in db
2019-06-09 14:24:57.569	        76c88310	INFO 	blockchain.db.lmdb	src/blockchain_db/lmdb/db_lmdb.cpp:2279	transaction with hash 45ee0a1292b4bc5cd8936e61211025312050b7135f9e72a4b8fabcd843c8c5d0 not found in db
2019-06-09 14:24:57.575	        76c88310	INFO 	blockchain.db.lmdb	src/blockchain_db/lmdb/db_lmdb.cpp:2279	transaction with hash ddb83f584f431fa14628a202125e93ed992bbcd75f8c94342d56d9926908c6d0 not found in db
2019-06-09 14:24:57.588	        76c88310	INFO 	blockchain.db.lmdb	src/blockchain_db/lmdb/db_lmdb.cpp:2279	transaction with hash 5b83f20a07fa1efa763e4c6b1986e431590fa5815d75a6a98d4a9de4ffc013d1 not found in db
2019-06-09 14:24:57.595	        76c88310	INFO 	blockchain.db.lmdb	src/blockchain_db/lmdb/db_lmdb.cpp:2279	transaction with hash 091366e5b3eaca3402d7c21fb037bfee263cc4bdc18ea497ba8be5f4a4ab77d1 not found in db
2019-06-09 14:24:57.606	        76c88310	INFO 	blockchain.db.lmdb	src/blockchain_db/lmdb/db_lmdb.cpp:2279	transaction with hash dfc00327fa3f6e2f045eacc6af23c72d8748ef8ce8f6af07e5467a3a9bfd6ce4 not found in db
2019-06-09 14:24:57.617	        76c88310	INFO 	blockchain.db.lmdb	src/blockchain_db/lmdb/db_lmdb.cpp:2279	transaction with hash c770f7995ccb166e2b928dab0ac9fb746a6b1d30101eab120cfdb95aff6030e5 not found in db
2019-06-09 14:24:57.638	        76c88310	INFO 	blockchain.db.lmdb	src/blockchain_db/lmdb/db_lmdb.cpp:2279	transaction with hash eb5ae65d611c1142fcc0147a76bc2982c6a8bd7ca8ab66e6202ee5d37bd1d7e7 not found in db
2019-06-09 14:24:57.652	        76c88310	INFO 	blockchain.db.lmdb	src/blockchain_db/lmdb/db_lmdb.cpp:2279	transaction with hash efc0d94ef37ab697c63027a41592582517a6696f978b600cead886bb9bdb65f7 not found in db
2019-06-09 14:24:57.652	        76c88310	INFO 	global	src/cryptonote_core/cryptonote_core.cpp:628	Loading checkpoints
2019-06-09 14:24:57.654	        76c88310	INFO 	checkpoints	src/checkpoints/checkpoints.cpp:222	Blockchain checkpoints file not found
2019-06-09 14:24:57.999	        76c88310	INFO 	blockchain.db.lmdb	src/blockchain_db/lmdb/db_lmdb.cpp:591	[check_and_resize_for_batch] checking DB size
2019-06-09 14:24:57.999	        76c88310	INFO 	blockchain.db.lmdb	src/blockchain_db/lmdb/db_lmdb.cpp:559	DB map size:     112474759168
2019-06-09 14:24:57.999	        76c88310	INFO 	blockchain.db.lmdb	src/blockchain_db/lmdb/db_lmdb.cpp:560	Space used:      75370708992
2019-06-09 14:24:57.999	        76c88310	INFO 	blockchain.db.lmdb	src/blockchain_db/lmdb/db_lmdb.cpp:561	Space remaining: 37104050176
2019-06-09 14:24:57.999	        76c88310	INFO 	blockchain.db.lmdb	src/blockchain_db/lmdb/db_lmdb.cpp:562	Size threshold:  0
2019-06-09 14:24:57.999	        76c88310	INFO 	blockchain.db.lmdb	src/blockchain_db/lmdb/db_lmdb.cpp:564	Percent used: 0.6701  Percent threshold: 0.9000
2019-06-09 14:24:58.014	        76c88310	INFO 	checkpoints	src/checkpoints/checkpoints.cpp:105	CHECKPOINT PASSED FOR HEIGHT 233000 <4f69bec2af6c0852412bdd10c19e6af10c8d738fe2618b5511a98efd03ab477e>
2019-06-09 14:24:58.021	        76c88310	INFO 	checkpoints	src/checkpoints/checkpoints.cpp:105	CHECKPOINT PASSED FOR HEIGHT 250000 <f59d31839bd909ec8830b4f7f66ff213f0bd006334c8523daee452725e5c7a79>
