IP_Address	City	Region	Country	Latitude	Longitude
65.28.183.29	Brookfield	Wisconsin	US	43.0656	-88.145
95.215.19.30	None	None	SE	59.3247	18.056
51.15.96.30	Amsterdam	North Holland	NL	52.3534	4.9087
84.22.164.30	Harrow	England	GB	51.6144	-0.3368
213.239.221.30	Stuttgart	Baden-Württemberg	DE	48.7662	9.1833
50.93.229.30	Norton	Kansas	US	39.8407	-99.8878
45.63.18.31	Matawan	New Jersey	US	40.4652	-74.2307
147.135.37.31	Hillsboro	Oregon	US	45.5397	-122.9638
147.135.37.31	Hillsboro	Oregon	US	45.5397	-122.9638
62.210.104.31	None	None	FR	48.8582	2.3387
147.92.107.31	Ypsilanti	Michigan	US	42.2196	-83.6046
24.111.107.31	Rapid City	South Dakota	US	44.1415	-103.2052
24.193.226.31	New York	New York	US	40.7428	-73.9712
24.95.42.32	Belpre	Ohio	US	39.2868	-81.5968
188.209.49.32	None	None	NL	52.3824	4.8995
91.152.122.32	Jyväskylä	Central Finland	FI	62.2406	25.7467
147.135.129.32	None	None	FR	48.8582	2.3387
46.242.131.32	None	None	PL	52.2394	21.0362
178.79.154.32	London	England	GB	51.5132	-0.0961
142.44.163.32	Montreal	Quebec	CA	45.5302	-73.6331
108.60.179.32	Regina	Saskatchewan	CA	50.4481	-104.6126
72.66.64.33	Herndon	Virginia	US	38.9841	-77.3672
68.35.160.33	Huntsville	Alabama	US	34.7446	-86.6714
80.15.161.33	Paris	Île-de-France	FR	48.8543	2.3527
52.56.222.33	London	England	GB	51.5132	-0.0961
115.64.8.34	Melbourne	Victoria	AU	-37.8071	144.9516
185.185.24.34	None	None	DE	51.2993	9.491
116.203.80.35	None	None	DE	51.2993	9.491
5.9.121.35	None	None	DE	51.2993	9.491
147.135.136.35	None	None	FR	48.8582	2.3387
184.75.221.35	Toronto	Ontario	CA	43.6934	-79.4857
217.79.21.36	Samara	Samara Oblast	RU	53.1813	50.1218
146.0.35.36	None	None	DE	51.2993	9.491
79.137.53.36	None	None	FR	48.8582	2.3387
159.69.245.36	Nuremberg	Bavaria	DE	49.4419	11.0797
88.146.50.37	Prague	Hlavni mesto Praha	CZ	50.0766	14.5148
116.203.80.37	None	None	DE	51.2993	9.491
91.122.191.37	Vsevolozhsk	Leningradskaya Oblast'	RU	60.0153	30.6756
192.121.87.38	Chisinau	Chișinău Municipality	MD	47.0052	28.8573
139.99.125.38	None	None	CA	43.6319	-79.3716
82.221.131.38	None	None	IS	65.0	-18.0
51.68.209.38	None	None	FR	48.8582	2.3387
174.127.244.38	Redmond	Washington	US	47.6722	-122.1257
83.217.67.39	None	None	BE	50.8509	4.3447
219.251.180.39	Sejong	Sejong-si	KR	36.6112	127.2944
49.50.220.39	Auckland	Auckland	NZ	-36.8506	174.7679
74.140.6.40	Columbus	Ohio	US	40.0233	-83.0859
118.107.10.40	Tokyo	Tokyo	JP	35.6882	139.7532
87.240.20.40	Lobnya	Moscow Oblast	RU	56.0097	37.4819
18.210.126.40	Ashburn	Virginia	US	39.0481	-77.4728
51.77.136.40	None	None	FR	48.8582	2.3387
82.33.184.40	Croydon	England	GB	51.3488	-0.0321
185.158.251.40	Frankfurt am Main	Hesse	DE	50.1049	8.6295
69.73.28.41	Montgomery	Alabama	US	32.3849	-86.2404
51.79.49.41	None	None	CA	43.6319	-79.3716
51.79.49.41	None	None	CA	43.6319	-79.3716
51.89.96.41	None	None	FR	48.8582	2.3387
91.121.157.41	None	None	FR	48.8582	2.3387
81.100.175.41	Balham	England	GB	51.4406	-0.1424
102.65.189.41	Durban	KwaZulu-Natal	ZA	-29.8523	31.0191
194.225.50.42	None	None	IR	35.698	51.4115
104.140.201.42	New York	New York	US	40.7114	-74.0005
13.229.227.42	Singapore	None	SG	1.2929	103.8547
194.5.250.42	None	None	RO	45.9968	24.997
90.242.10.43	Hackney	England	GB	51.5507	-0.0537
176.58.114.43	London	England	GB	51.5132	-0.0961
205.196.146.43	None	None	US	37.751	-97.822
144.217.45.44	Beauharnois	Quebec	CA	45.3161	-73.8736
51.79.50.44	None	None	CA	43.6319	-79.3716
167.71.57.44	Frankfurt am Main	Hesse	DE	50.1188	8.6843
69.146.156.44	Durango	Colorado	US	37.2845	-107.8646
194.68.44.45	Bucharest	Bucuresti	RO	44.4354	26.1033
85.165.46.45	Asker	Viken	NO	59.8333	10.4333
80.195.243.45	Bexleyheath	England	GB	51.4638	0.1434
80.240.18.46	Frankfurt am Main	Hesse	DE	50.1103	8.7147
116.203.80.46	None	None	DE	51.2993	9.491
34.248.99.46	Dublin	Leinster	IE	53.3338	-6.2488
87.78.133.46	Cologne	North Rhine-Westphalia	DE	50.9373	6.9842
181.84.241.46	Santo Tome	Santa Fe	AR	-31.6631	-60.7617
116.203.80.47	None	None	DE	51.2993	9.491
120.156.120.47	Eastwood	New South Wales	AU	-33.7884	151.0811
81.174.148.47	Manchester	England	GB	53.4606	-2.2572
185.176.179.47	Villennes-sur-Seine	Île-de-France	FR	48.9414	1.9914
24.217.13.48	Centralia	Illinois	US	38.5273	-89.1356
93.179.68.48	None	None	RU	55.7386	37.6068
91.213.203.48	None	None	NO	59.9452	10.7559
98.15.210.48	Middletown	New York	US	41.4535	-74.4774
45.79.210.48	Atlanta	Georgia	US	33.7485	-84.3871
70.134.60.49	Mountain View	California	US	37.4043	-122.0748
13.232.158.49	Mumbai	Maharashtra	IN	19.0748	72.8856
91.176.206.49	Brussels	Brussels Capital	BE	50.8351	4.3179
193.58.116.50	None	None	GB	51.4964	-0.1224
139.99.120.50	Singapore	None	SG	1.2765	103.8438
199.241.190.50	None	None	US	37.751	-97.822
95.217.10.51	None	None	DE	51.2993	9.491
122.104.102.51	Brisbane	Queensland	AU	-27.4732	153.0215
190.64.134.51	Colonia Valdense	Colonia	UY	-34.3376	-57.2668
46.125.32.52	Molln	Upper Austria	AT	47.8859	14.2539
54.39.75.52	None	None	CA	43.6319	-79.3716
54.39.75.52	None	None	CA	43.6319	-79.3716
91.102.91.52	None	None	DK	55.7123	12.0564
162.243.160.52	North Bergen	New Jersey	US	40.793	-74.0247
80.172.224.52	None	None	PT	38.7057	-9.1359
23.111.236.52	None	None	NL	52.3824	4.8995
70.161.251.52	Williamsburg	Virginia	US	37.3197	-76.7625
171.22.1.53	Tantonville	Grand Est	FR	48.4716	6.1351
54.39.75.53	None	None	CA	43.6319	-79.3716
96.255.138.53	Rockville	Maryland	US	39.0828	-77.1674
86.121.145.53	Bucharest	Bucuresti	RO	44.4176	26.1708
149.248.1.54	Los Angeles	California	US	34.0729	-118.2606
73.70.73.54	Belvedere Tiburon	California	US	37.883	-122.4676
54.39.75.54	None	None	CA	43.6319	-79.3716
54.39.75.54	None	None	CA	43.6319	-79.3716
95.216.115.54	None	None	DE	51.2993	9.491
97.82.203.54	Anderson	South Carolina	US	34.5258	-82.7049
174.24.72.55	Colorado Springs	Colorado	US	38.9129	-104.7794
54.39.75.55	None	None	CA	43.6319	-79.3716
54.39.75.55	None	None	CA	43.6319	-79.3716
176.254.124.55	Brighton	England	GB	50.8345	-0.186
192.158.238.55	Melbourne	Florida	US	28.1091	-80.5787
121.99.241.55	Auckland	Auckland	NZ	-36.8506	174.7679
195.201.56.56	None	None	DE	51.2993	9.491
54.39.75.56	None	None	CA	43.6319	-79.3716
54.39.75.56	None	None	CA	43.6319	-79.3716
91.152.205.56	Pirkkala	Pirkanmaa	FI	61.4589	23.646
159.100.254.56	Bern	Bern	CH	46.9458	7.4481
76.72.40.57	Lafayette	Louisiana	US	30.2813	-92.016
54.39.75.57	None	None	CA	43.6319	-79.3716
159.69.15.58	Kornwestheim	Baden-Württemberg	DE	48.8631	9.1877
